Customer_ID,Full_Name,Date_of_Birth,Age,Gender,Email,Phone,City,State,Pincode,Account_Number,Account_Type,Account_Open_Date,Current_Balance,Loan_Amount,Credit_Score,Occupation,Years_With_Bank,Annual_Income,Account_Status,Internet_Banking,Mobile_Banking,Customer_Tier,Number_of_Transactions,Last_Month_Spending
CUST770487,Shreya Nair,1966-04-05,58,Male,shreya.nair251@yahoo.com,+917812140441,Bengaluru,Karnataka,131244,ACC1478163327,Savings,2009-11-27,338511.39,0.0,858,Businessman,33,304989.18,Dormant,Yes,No,Tier 1,14,29463.28
CUST948749,Suresh Jain,1975-04-06,49,Male,suresh.jain164@rediffmail.com,+917631775357,Jaipur,Rajasthan,476417,ACC4733616459,Salary,2018-07-17,78162.01,0.0,644,Government Employee,3,367568.58,Dormant,Yes,No,Tier 1,17,14658.91
CUST759176,Rahul Joshi,1962-01-20,63,Female,rahul.joshi722@gmail.com,+917632629719,Ahmedabad,Gujarat,575435,ACC8995970241,Salary,2008-08-25,386647.64,1732967.33,381,Farmer,23,112658.45,Inactive,Yes,Yes,Tier 3,7,8170.12
CUST497887,Varun Patel,1977-12-29,47,Female,varun.patel825@outlook.com,+918815087637,Jaipur,Rajasthan,514850,ACC1240251661,Fixed Deposit,2008-03-16,33561.21,629355.76,880,Government Employee,9,130847.48,Dormant,No,No,Tier 3,12,18099.82
CUST245051,Ananya Desai,1966-11-09,58,Female,ananya.desai49@gmail.com,+918559321289,Kolkata,West Bengal,654816,ACC7483366056,Salary,2017-05-30,396143.64,769534.62,732,Engineer,8,344038.08,Dormant,No,No,Tier 1,9,21738.26
CUST575763,Poonam Desai,1999-01-18,26,Male,poonam.desai183@gmail.com,+919274958945,Lucknow,Uttar Pradesh,665579,ACC8385972235,Recurring Deposit,2005-01-05,420913.84,305678.54,819,Architect,21,249416.8,Active,No,No,Tier 1,1,12043.58
CUST694916,Ananya Ghosh,1994-02-12,31,Female,ananya.ghosh498@gmail.com,+916709214891,Tiruppur,Tamil Nadu,653306,ACC5067116918,Recurring Deposit,2014-06-29,383034.3,1893697.36,431,Businessman,35,380079.95,Dormant,Yes,No,Tier 2,20,18671.03
CUST642717,Farhan Gupta,1960-12-10,64,Other,farhan.gupta66@outlook.com,+919040153710,Vellore,Tamil Nadu,161733,ACC2939118223,Current,2006-07-07,277183.8,0.0,525,Engineer,22,44720.1,Active,No,No,Tier 1,17,6615.59
CUST698782,Farhan Jain,1968-07-16,56,Female,farhan.jain485@rediffmail.com,+917765670844,Bengaluru,Karnataka,864491,ACC7769777475,Savings,2020-02-08,48916.94,0.0,741,IT Professional,7,39700.21,Dormant,No,Yes,Tier 1,6,9510.45
CUST570405,Chandan Nair,1999-03-24,25,Other,chandan.nair474@yahoo.com,+918800940984,Delhi,Delhi,976638,ACC5897045684,Savings,2007-02-04,221843.81,0.0,863,Businessman,11,209142.89,Inactive,Yes,No,Tier 1,5,18948.66
CUST509386,Meena Banerjee,1966-12-11,58,Female,meena.banerjee981@rediffmail.com,+919212530587,Pune,Maharashtra,159942,ACC7249213370,Savings,2018-02-07,148705.56,1084390.4,359,Accountant,33,460499.69,Dormant,Yes,Yes,Tier 3,2,42567.13
CUST171849,Sanjay Malhotra,1965-05-18,59,Other,sanjay.malhotra241@rediffmail.com,+918506853388,Vellore,Tamil Nadu,648177,ACC3555656321,Salary,2010-11-07,123484.57,838449.83,340,Businessman,21,126956.12,Inactive,Yes,No,Tier 2,10,46450.92
CUST176066,Rekha Bose,1984-02-12,41,Male,rekha.bose103@gmail.com,+919776436931,Pune,Maharashtra,487477,ACC5334976883,Salary,2008-07-16,253189.4,1761728.35,435,Accountant,35,354734.56,Dormant,Yes,No,Tier 3,3,46946.5
CUST240814,Yamini Singh,1972-03-20,53,Female,yamini.singh761@yahoo.com,+918724031273,Lucknow,Uttar Pradesh,629959,ACC2135872495,Fixed Deposit,2010-08-20,302612.5,0.0,651,Engineer,6,320799.38,Inactive,Yes,Yes,Tier 2,4,31855.67
CUST374680,Priya Sharma,1999-08-12,25,Male,priya.sharma115@gmail.com,+916547374338,Hyderabad,Telangana,423232,ACC8325785916,Salary,2022-11-09,273022.35,296187.57,678,Engineer,23,112937.5,Active,Yes,No,Tier 3,13,48691.85
CUST885884,Vishal Verma,1999-07-16,25,Other,vishal.verma820@yahoo.com,+918877229210,Coimbatore,Tamil Nadu,950132,ACC4993808565,Current,2010-12-26,12880.79,823426.33,640,Teacher,7,197445.44,Active,No,Yes,Tier 1,14,17482.92
